-2.6,189.67,1e-05,1e-05,4,1e-05,8,2,215,23495.47,31.48,64.88,-0.545
96.6,447.5,1.7,3.0,7,11.0,32,1,215,23495.47,31.48,64.88,-0.545
27.0,322.15,-2.2,5.0,8,4.0,20,1,215,23495.47,31.48,64.88,-0.545
-2.9,310.27,1e-05,6.0,10,4.0,19,3,215,23495.47,31.48,64.88,-0.545
3.7,249.1,-6.5,6.0,8,5.0,14,1,215,23495.47,31.48,64.88,-0.545
69.7,401.4,1.0,2.0,7,7.0,28,1,215,23495.47,31.48,64.88,-0.545
13.3,278.4,5.9,1.0,2,13.0,20,1,215,23495.47,31.48,64.88,-0.545
18.4,319.23,-4.1,5.0,8,9.0,19,1,215,23495.47,31.48,64.88,-0.545
-1.0,430.37,1e-05,10.0,14,8.0,27,3,215,23495.47,31.48,64.88,-0.545
-5.4,525.6,4.1,2.0,9,9.0,36,1,215,23495.47,31.48,64.88,-0.545
-5.4,411.5,2.8,2.0,5,7.0,30,1,215,23495.47,31.48,64.88,-0.545
-3.5,189.67,1e-05,1e-05,4,1e-05,8,2,215,23495.47,31.48,64.88,-0.545
-5.9,447.5,1.7,3.0,7,11.0,32,1,215,23495.47,31.48,64.88,-0.545
-6.1,322.15,-2.2,5.0,8,4.0,20,1,215,23495.47,31.48,64.88,-0.545
-5.4,312.4,3.3,1.0,2,2.0,23,1,215,23495.47,31.48,64.88,-0.545
-4.3,310.27,1e-05,6.0,10,4.0,19,3,215,23495.47,31.48,64.88,-0.545
-6.6,470.6,6.1,2.0,4,7.0,35,1,215,23495.47,31.48,64.88,-0.545
-6.6,394.31,3.4,2.0,9,2.0,27,1,215,23495.47,31.48,64.88,-0.545
-4.6,562.7,7.0,1.0,7,14.0,37,1,215,23495.47,31.48,64.88,-0.545
-6.2,475.6,6.6,1.0,6,8.0,34,1,215,23495.47,31.48,64.88,-0.545
-4.8,249.1,-6.5,6.0,8,5.0,14,1,215,23495.47,31.48,64.88,-0.545
-6.0,413.5,6.1,1.0,3,6.0,31,1,215,23495.47,31.48,64.88,-0.545
-5.6,268.3,2.9,1.0,2,1e-05,20,1,215,23495.47,31.48,64.88,-0.545
-5.8,401.4,1.0,2.0,7,7.0,28,1,215,23495.47,31.48,64.88,-0.545
-5.6,350.4,2.5,1.0,5,2.0,24,1,215,23495.47,31.48,64.88,-0.545
-6.3,338.25,3.7,1.0,9,2.0,23,1,215,23495.47,31.48,64.88,-0.545
-5.7,312.4,2.4,1.0,2,1.0,23,1,215,23495.47,31.48,64.88,-0.545
-6.2,473.6,6.1,2.0,6,7.0,34,1,215,23495.47,31.48,64.88,-0.545
-6.0,384.6,7.9,1.0,1,6.0,28,1,215,23495.47,31.48,64.88,-0.545
-4.4,278.4,5.9,1.0,2,13.0,20,1,215,23495.47,31.48,64.88,-0.545
-5.6,444.6,8.9,1e-05,2,11.0,33,1,215,23495.47,31.48,64.88,-0.545
-5.7,400.6,6.2,2.0,2,6.0,29,1,215,23495.47,31.48,64.88,-0.545
-5.7,293.36,2.3,2.0,5,3.0,21,1,215,23495.47,31.48,64.88,-0.545
-5.7,272.4,4.0,2.0,2,1e-05,20,1,215,23495.47,31.48,64.88,-0.545
-5.9,270.4,3.1,1.0,2,1e-05,20,1,215,23495.47,31.48,64.88,-0.545
-5.5,306.4,3.7,1.0,3,1e-05,22,1,215,23495.47,31.48,64.88,-0.545
-5.4,288.4,3.2,1.0,2,1e-05,21,1,215,23495.47,31.48,64.88,-0.545
-5.7,296.4,3.7,2.0,2,1.0,22,1,215,23495.47,31.48,64.88,-0.545
-5.3,319.23,-4.1,5.0,8,9.0,19,1,215,23495.47,31.48,64.88,-0.545
-5.7,298.4,3.0,1.0,2,1.0,22,1,215,23495.47,31.48,64.88,-0.545
-5.4,386.5,4.1,1e-05,4,3.0,28,1,215,23495.47,31.48,64.88,-0.545
-6.0,366.5,3.5,1e-05,3,1e-05,27,1,215,23495.47,31.48,64.88,-0.545
-5.6,490.7,4.3,4.0,5,10.0,35,1,215,23495.47,31.48,64.88,-0.545
-4.6,513.5,1e-05,1e-05,11,4.0,25,3,215,23495.47,31.48,64.88,-0.545
-6.3,408.9,5.0,2.0,4,8.0,29,1,215,23495.47,31.48,64.88,-0.545
-7.2,540.6,3.9,2.0,8,8.0,38,1,215,23495.47,31.48,64.88,-0.545
-4.7,430.37,1e-05,10.0,14,8.0,27,3,215,23495.47,31.48,64.88,-0.545
-5.6,428.6,7.3,1e-05,3,10.0,31,1,215,23495.47,31.48,64.88,-0.545
-6.2,525.6,4.1,2.0,9,9.0,36,1,104,11871.28,45.84,67.5,-0.652
-6.1,411.5,2.8,2.0,5,7.0,30,1,104,11871.28,45.84,67.5,-0.652
-4.3,189.67,1e-05,1e-05,4,1e-05,8,2,104,11871.28,45.84,67.5,-0.652
-6.4,447.5,1.7,3.0,7,11.0,32,1,104,11871.28,45.84,67.5,-0.652
-5.6,322.15,-2.2,5.0,8,4.0,20,1,104,11871.28,45.84,67.5,-0.652
-6.4,312.4,3.3,1.0,2,2.0,23,1,104,11871.28,45.84,67.5,-0.652
-4.2,310.27,1e-05,6.0,10,4.0,19,3,104,11871.28,45.84,67.5,-0.652
