node_id,node
260,1001900026_444008	
261,1001900026_5035	
262,1001900026_5280795	
263,1001900026_5280933	
264,1001900026_5282367	
265,1001900026_5283731	
266,1001900026_57398987	
267,1001900026_5757	
268,1001900026_5870	
269,1001900026_5878	
270,1001900026_5881	
271,1001900026_5991	
272,1001900026_60852	
273,1001900026_6230	
274,1001900026_6279	
275,1001900026_68873	
276,1001900026_6918141	
277,1001900026_6918182	
278,1001900026_6918446	
279,1001900026_6918602	
280,1001900026_9290	
281,1001900026_9677	
282,1002200190014_10152654	
283,1002200190014_10201696	
284,1002200190014_10313457	
285,1002200190014_10345214	
286,1002200190014_130956	
287,1002200190014_13109	
288,1002200190014_13388558	
289,1002200190014_154257	
290,1002200190014_16750192	
291,1002200190014_176405	
292,1002200190014_179337	
293,1002200190014_2088	
294,1002200190014_216416	
295,1002200190014_223368	
296,1002200190014_25022354	
297,1002200190014_3001028	
298,1002200190014_44137686	
299,1002200190014_444008	
300,1002200190014_5035	
301,1002200190014_5280795	
302,1002200190014_5280933	
303,1002200190014_5282367	
304,1002200190014_5283731	
305,1002200190014_57398987	
306,1002200190014_5757	
307,1002200190014_5870	
308,1002200190014_5878	
309,1002200190014_5881	
310,1002200190014_5991	
311,1002200190014_60852	
312,1002200190014_6230	
313,1002200190014_6279	
314,1002200190014_68873	
315,1002200190014_6918141	
316,1002200190014_6918182	
317,1002200190014_6918446	
318,1002200190014_6918602	
319,1002200190014_9290	
320,1002200190014_9677	
321,1002500225_10152654	
322,1002500225_10201696	
323,1002500225_10313457	
324,1002500225_10345214	
325,1002500225_130956	
326,1002500225_13109	
327,1002500225_13388558	
328,1002500225_154257	
329,1002500225_16750192	
330,1002500225_176405	
331,1002500225_179337	
332,1002500225_2088	
333,1002500225_216416	
334,1002500225_223368	
335,1002500225_25022354	
336,1002500225_3001028	
337,1002500225_44137686	
338,1002500225_444008	
339,1002500225_5035	
340,1002500225_5280795	
341,1002500225_5280933	
342,1002500225_5282367	
343,1002500225_5283731	
344,1002500225_57398987	
345,1002500225_5757	
346,1002500225_5870	
347,1002500225_5878	
348,1002500225_5881	
349,1002500225_5991	
350,1002500225_60852	
351,1002500225_6230	
352,1002500225_6279	
353,1002500225_68873	
354,1002500225_6918141	
355,1002500225_6918182	
356,1002500225_6918446	
357,1002500225_6918602	
358,1002500225_9290	
359,1002500225_9677	
360,1002600235_10152654	
361,1002600235_10201696	
362,1002600235_10313457	
363,1002600235_10345214	
364,1002600235_130956	
365,1002600235_13109	
366,1002600235_13388558	
367,1002600235_154257	
368,1002600235_16750192	
369,1002600235_176405	
370,1002600235_179337	
371,1002600235_2088	
372,1002600235_216416	
373,1002600235_223368	
374,1002600235_25022354	
375,1002600235_3001028	
376,1002600235_44137686	
377,1002600235_444008	
378,1002600235_5035	
379,1002600235_5280795	
380,1002600235_5280933	
381,1002600235_5282367	
382,1002600235_5283731	
383,1002600235_57398987	
384,1002600235_5757	
385,1002600235_5870	
386,1002600235_5878	
387,1002600235_5881	
388,1002600235_5991	
389,1002600235_60852	
390,1002600235_6230	
391,1002600235_6279	
392,1002600235_68873	
393,1002600235_6918141	
394,1002600235_6918182	
395,1002600235_6918446	
396,1002600235_6918602	
397,1002600235_9290	
398,1002600235_9677	
399,2000100060013_10313457	
400,2000100060013_10345214	
401,2000100060013_130956	
402,2000100060013_13388558	
403,2000100060013_2088	
404,2000100060013_25022354	
405,2000100060013_44137686	
406,2000100060013_5280933	
407,2000100060013_5282367	
408,2000100060013_60852	
409,2000100060013_6918182	
410,2000100060013_6918446	
411,2000100060013_9290	
412,2000100060015_10313457	
413,2000100060015_10345214	
414,2000100060015_130956	
415,2000100060015_13388558	
416,2000100060015_2088	
417,2000100060015_25022354	
418,2000100060015_44137686	
419,2000100060015_5280933	
420,2000100060015_5282367	
421,2000100060015_60852	
422,2000100060015_6918182	
423,2000100060015_6918446	
424,2000100060015_9290	
425,2000100060019_10313457	
