60852,319.23,-4.1,5,8,9,19,1
6918182,513.5,0.00001,0.00001,11,4,25,3
216416,413.5,6.1,1,3,6,31,1
5035,473.6,6.1,2,6,7,34,1
3001028,350.4,2.5,1,5,2,24,1
6279,386.5,4.1,0.00001,4,3,28,1
5280795,384.6,7.9,1,1,6,28,1
5280933,278.4,5.9,1,2,13,20,1
68873,366.5,3.5,0.00001,3,0.00001,27,1
179337,475.6,6.6,1,6,8,34,1
13388558,310.27,0.00001,6,10,4,19,3
2088,249.1,-6.5,6,8,5,14,1
5991,296.4,3.7,2,2,1,22,1
9290,430.37,0.00001,10,14,8,27,3
5757,272.4,4,2,2,0.00001,20,1
444008,312.4,2.4,1,2,1,23,1
154257,470.6,6.1,2,4,7,35,1
5878,306.4,3.7,1,3,0.00001,22,1
9677,428.6,7.3,0.00001,3,10,31,1
5870,270.4,3.1,1,2,0.00001,20,1
5283731,400.6,6.2,2,2,6,29,1
5881,288.4,3.2,1,2,0.00001,21,1
13109,312.4,3.3,1,2,2,23,1
6230,298.4,3,1,2,1,22,1
6918602,540.6,3.9,2,8,8,38,1
44137686,338.25,3.7,1,9,2,23,1
10313457,189.67,0.00001,0.00001,4,0.00001,8,2
10201696,411.5,2.8,2,5,7,30,1
10152654,525.6,4.1,2,9,9,36,1
5282367,444.6,8.9,0.00001,2,11,33,1
176405,562.7,7,1,7,14,37,1
10345214,447.5,1.7,3,7,11,32,1
57398987,293.36,2.3,2,5,3,21,1
25022354,401.4,1,2,7,7,28,1
6918141,490.7,4.3,4,5,10,35,1
6918446,408.9,5,2,4,8,29,1
130956,322.15,-2.2,5,8,4,20,1
16750192,394.31,3.4,2,9,2,27,1
223368,268.3,2.9,1,2,0.00001,20,1
11600642,198.17,-0.2,4,5,3,14,1
164676,294.3,4.3,0.00001,3,0.00001,22,1
11629084,718.6,4,9,16,14,52,1
160254,296.4,3.8,0.00001,3,0.00001,22,1
5281807,416.4,0.00001,6,9,3,30,1
91458,346.33,-3,6,9,4,24,1
5742590,576.8,7.7,4,6,9,41,1
